127.0.0.1, 2012-11-06 01:55:54, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.306000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.005000
0
127.0.0.1, 2012-11-06 01:55:55, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-11-06 01:55:56, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-11-06 01:55:56, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/default/index, HTTP/1.1, 200, 0.292000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.215000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.213000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.213000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.213000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.213000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2012-11-06 01:55:59, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2012-11-06 01:56:00, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.023000
127.0.0.1, 2012-11-06 01:56:00, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.040000
127.0.0.1, 2012-11-06 01:56:00, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.038000
127.0.0.1, 2012-11-06 01:56:00, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.038000
127.0.0.1, 2012-11-06 01:56:00, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.038000
127.0.0.1, 2012-11-06 01:56:00, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.038000
127.0.0.1, 2012-11-06 01:56:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-11-06 01:56:00, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2012-11-06 01:56:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-11-06 01:56:03, POST, /admin/default/index, HTTP/1.1, 303, 0.055000
